图书名字,作者,引述,出版社,发行日期,价格,评分,评价人数,图书详细链接
《白鹿原》,陈忠实,中国乡村史诗,人民文学出版社,1997年,28.00元,8.6,40738人评价,https://book.douban.com/subject/1085799/
《芒果街上的小屋》,[美国] 桑德拉·希斯内罗丝,那些微尘般漂浮的生活,译林出版社,2006-6,24.50元,7.8,43812人评价,https://book.douban.com/subject/1794620/
《羊脂球》,（法）莫泊桑,资产阶级的道貌岸然,北京燕山出版社,2007-6,13.50元,8.1,42367人评价,https://book.douban.com/subject/1205370/
《鲁滨逊漂流记》,[英] 笛福,最早的荒野求生,广西民族出版社,2002-1,9.20元,8.0,42770人评价,https://book.douban.com/subject/1016003/
《灌篮高手31》,[日] 井上雄彦,全剧终,长春出版社,2005-1,7.50元,9.5,26745人评价,https://book.douban.com/subject/1221515/
《撒哈拉的故事》,三毛,游荡的自由灵魂,哈尔滨出版社,2003-8,15.80元,9.2,37624人评价,https://book.douban.com/subject/1060068/
《巴黎圣母院》,[法]雨果,潜藏于残缺下的美与崇高,人民文学出版社,1982-6,22.50元,8.3,40757人评价,https://book.douban.com/subject/1024197/
《肖申克的救赎》,[美] 斯蒂芬·金,希望让人自由，电影实在太有名,人民文学出版社,2006-7,29.90元,9.1,37214人评价,https://book.douban.com/subject/1829226/
《麦田里的守望者》,[美国] J. D. 塞林格,反英雄霍尔顿的一生,译林出版社,2007-3,28.00元,8.0,41085人评价,https://book.douban.com/subject/2053249/
《无声告白》,[美] 伍绮诗,莉迪亚死了，可他们还不知道,江苏凤凰文艺出版社,2015-7,35.00元,8.2,40489人评价,https://book.douban.com/subject/26382433/
《嫌疑人X的献身》,（日）东野圭吾,东野说，这是最纯粹的爱情,南海出版公司,2009年11月,19.80元,9.0,37101人评价,https://book.douban.com/subject/4117922/
《山楂树之恋》,艾米,明净单纯,江苏文艺出版社,2007-9,25.00元,7.8,40773人评价,https://book.douban.com/subject/2243213/
《华胥引（全二册）》,唐七公子,现实不如梦中的圆满,现代出版社,2011-1,39.80元,8.5,38423人评价,https://book.douban.com/subject/5916880/
《地下铁》,幾米,黑暗世界中的点滴亮光,辽宁教育出版社,2002-2,32.00元,8.3,39101人评价,https://book.douban.com/subject/1056733/
《且听风吟》,[日] 村上春树,我们通过孤独与世界沟通,上海译文出版社,2001-8,11.80元,7.7,41027人评价,https://book.douban.com/subject/1039752/
《钢铁是怎样炼成的》,[苏] 尼·奥斯特洛夫斯基,激情燃烧的岁月，特殊年代的经典,译林出版社,1996-10,20.00元,7.6,41350人评价,https://book.douban.com/subject/1013502/
《红玫瑰与白玫瑰》,张爱玲,蚊子血还是饭黏子？,花城出版社,1996-06,12.80元,8.4,38274人评价,https://book.douban.com/subject/1014278/
《人生若只如初见》,安意如,是“何事秋风悲画扇”，不是西风,天津教育出版社,2006-8,23.80元,7.3,42215人评价,https://book.douban.com/subject/1856285/
《人间失格》,太宰治,令人无从怜悯的绝望,吉林出版集团有限责任公司,2009年9月,16.00元,8.3,38587人评价,https://book.douban.com/subject/4011670/
《鬼吹灯之精绝古城》,天下霸唱,盗墓祖师名不虚传,安徽文艺出版社,2006,25.0,8.1,38583人评价,https://book.douban.com/subject/1882933/
《安徒生童话故事集》,（丹麦）安徒生,远不是童话那么简单,人民文学出版社,1997-08,25.00,9.1,35082人评价,https://book.douban.com/subject/1046209/
《呐喊》,鲁迅,新文学的第一声呐喊,人民文学出版社,1973年3月,0.36元,8.8,36008人评价,https://book.douban.com/subject/1449351/
《小团圆》,张爱玲,自传性作品，团圆只存在幻灭之中,北京十月文艺出版社,2009-4,28.00,7.6,39908人评价,https://book.douban.com/subject/3616310/
